Date	Close
1/2/1995	4301
1/3/1995	4098
1/4/1995	3967.899902
1/5/1995	4036.699951
1/6/1995	3827.399902
1/9/1995	3627.800049
1/10/1995	3270
1/11/1995	3499.100098
1/12/1995	3840.600098
1/13/1995	4103.799805
1/16/1995	4056.399902
1/17/1995	4209.799805
1/18/1995	4078.5
1/19/1995	3809.399902
1/20/1995	3862.300049
1/23/1995	3758.5
1/24/1995	3840.300049
1/26/1995	3926.899902
1/27/1995	3784.300049
1/30/1995	3580.699951
1/31/1995	3885
2/1/1995	3989.800049
2/2/1995	3897.899902
2/3/1995	3944.399902
2/6/1995	3829.800049
2/7/1995	3637.399902
2/8/1995	3556.300049
2/9/1995	3401.600098
2/10/1995	3307.699951
2/13/1995	3294.899902
2/14/1995	3192.199951
2/15/1995	3069.399902
2/16/1995	2863.800049
2/17/1995	3023.300049
2/20/1995	2961.600098
2/21/1995	2793.100098
2/22/1995	2872.399902
2/23/1995	3217.399902
2/24/1995	3270.899902
3/2/1995	2989.100098
3/3/1995	2988
3/6/1995	2867.199951
3/7/1995	2615.699951
3/8/1995	2363.300049
3/9/1995	2138.300049
3/10/1995	2686.199951
3/13/1995	2670.899902
3/14/1995	3016.899902
3/15/1995	2939.399902
3/16/1995	3141.699951
3/17/1995	2981.100098
3/20/1995	2870.100098
3/21/1995	3006.100098
3/22/1995	3003.899902
3/23/1995	3145.600098
3/24/1995	3361.199951
3/27/1995	3372.300049
3/28/1995	3255.800049
3/29/1995	3198.199951
3/30/1995	3125.5
3/31/1995	2979
4/3/1995	2893.5
4/4/1995	3125.100098
4/5/1995	3180.300049
4/6/1995	3254.600098
4/7/1995	3203
4/10/1995	3114.100098
4/11/1995	3017.800049
4/12/1995	3020.800049
4/17/1995	3113.100098
4/18/1995	3193.899902
4/19/1995	3330.699951
4/20/1995	3384.300049
4/24/1995	3512.899902
4/25/1995	3699.100098
4/26/1995	3825.899902
4/27/1995	3851.100098
4/28/1995	3813.699951
5/2/1995	3861.5
5/3/1995	3976
5/4/1995	4043.899902
5/5/1995	4008.199951
5/8/1995	3914.199951
5/9/1995	4065.399902
5/10/1995	4050.399902
5/11/1995	3951.100098
5/12/1995	3998.300049
5/15/1995	3894
5/16/1995	3835.100098
5/17/1995	3964.399902
5/18/1995	4008.100098
5/19/1995	3950
5/22/1995	4033.699951
5/23/1995	4048.699951
5/24/1995	4099.600098
5/25/1995	4019
5/26/1995	3905
5/29/1995	3896.300049
5/30/1995	3706.800049
5/31/1995	3720.600098
6/1/1995	3773.600098
6/2/1995	3966.5
6/5/1995	4062.800049
6/6/1995	3933.300049
6/7/1995	3808.199951
6/8/1995	3818.5
6/9/1995	3670.699951
6/12/1995	3704.800049
6/13/1995	3789.300049
6/14/1995	3665
6/16/1995	3717.899902
6/19/1995	3696.100098
6/20/1995	3576.899902
6/21/1995	3631.600098
6/22/1995	3598.800049
6/23/1995	3585.600098
6/26/1995	3537
6/27/1995	3661.300049
6/28/1995	3661.300049
6/29/1995	3678
6/30/1995	3603.399902
7/3/1995	3594.399902
7/4/1995	3633.600098
7/5/1995	3700.300049
7/6/1995	3821
7/7/1995	3961.699951
7/10/1995	3958.399902
7/11/1995	3889.199951
7/12/1995	4026.5
7/13/1995	4007.5
7/14/1995	4026.800049
7/17/1995	4016.100098
7/18/1995	3919.199951
7/19/1995	3829.399902
7/20/1995	3939
7/21/1995	3862.399902
7/24/1995	3899.699951
7/25/1995	3917.899902
7/26/1995	3878.800049
7/27/1995	3912.899902
7/28/1995	3888.399902
7/31/1995	3877.5
8/1/1995	3870.800049
8/2/1995	3918.5
8/3/1995	4025.5
8/4/1995	4200.399902
8/7/1995	4393.899902
8/8/1995	4310.799805
8/9/1995	4279.799805
8/10/1995	4337
8/11/1995	4193
8/14/1995	4081.199951
8/15/1995	4156.399902
8/16/1995	4223.299805
8/17/1995	4229.200195
8/18/1995	4235.399902
8/21/1995	4299
8/22/1995	4305.600098
8/23/1995	4471.200195
8/24/1995	4445
8/25/1995	4459.200195
8/28/1995	4515
8/29/1995	4367.799805
8/30/1995	4236.100098
8/31/1995	4310.5
9/1/1995	4450
9/4/1995	4520.200195
9/5/1995	4563.100098
9/6/1995	4550
9/8/1995	4531.600098
9/11/1995	4638.600098
9/12/1995	4703.700195
9/13/1995	4737.399902
9/14/1995	4810.5
9/15/1995	4801.799805
9/18/1995	4851.399902
9/19/1995	4861.200195
9/20/1995	4776.600098
9/21/1995	4693.600098
9/22/1995	4673.799805
9/25/1995	4579.100098
9/26/1995	4544
9/27/1995	4548
9/28/1995	4566.700195
9/29/1995	4670.100098
10/2/1995	4538
10/3/1995	4504.200195
10/4/1995	4426.299805
10/5/1995	4498.700195
10/6/1995	4514.600098
10/9/1995	4456.700195
10/10/1995	4409.5
10/11/1995	4500.700195
10/13/1995	4513.600098
10/16/1995	4549.600098
10/17/1995	4621
10/18/1995	4601.700195
10/19/1995	4585
10/20/1995	4668.799805
10/23/1995	4563.899902
10/24/1995	4528.200195
10/25/1995	4343.799805
10/26/1995	4060.300049
10/27/1995	4140.600098
10/30/1995	4069.100098
10/31/1995	4128.399902
11/1/1995	4099.799805
11/3/1995	4158.799805
11/6/1995	4094.300049
11/7/1995	4111.200195
11/8/1995	4117.100098
11/9/1995	4112.899902
11/10/1995	3958
11/13/1995	3787
11/14/1995	3797.300049
11/15/1995	3797.300049
11/16/1995	4003.600098
11/17/1995	4063.600098
11/20/1995	3966.100098
11/21/1995	4059.5
11/22/1995	4105.799805
11/23/1995	4191
11/24/1995	4081.600098
11/27/1995	4105.200195
11/28/1995	4049.800049
11/29/1995	4182.5
11/30/1995	4378.600098
12/1/1995	4346
12/4/1995	4334.200195
12/5/1995	4281.100098
12/6/1995	4303.600098
12/7/1995	4318.799805
12/8/1995	4299.299805
12/11/1995	4306.299805
12/12/1995	4365.600098
12/13/1995	4369.799805
12/14/1995	4183.299805
12/15/1995	4158.700195
12/18/1995	4056
12/19/1995	4035
12/20/1995	4205.700195
12/21/1995	4252
12/22/1995	4343.200195
12/26/1995	4364
12/27/1995	4346.299805
12/28/1995	4299
1/2/1996	4390.100098
1/3/1996	4681.5
1/4/1996	4684.100098
1/5/1996	4694.299805
1/8/1996	4741
1/9/1996	4653.899902
1/10/1996	4622.200195
1/11/1996	4748.700195
1/12/1996	4846.600098
1/15/1996	4895.399902
1/16/1996	4846.799805
1/17/1996	4836.200195
1/18/1996	4833.899902
1/19/1996	4909
1/22/1996	4893.799805
1/23/1996	4985.200195
1/24/1996	4945.200195
1/26/1996	4907.700195
1/29/1996	4934.799805
1/30/1996	5133.5
1/31/1996	5151.5
2/1/1996	5269.399902
2/2/1996	5410.899902
2/5/1996	5332.899902
2/6/1996	5354.100098
2/7/1996	5283
2/8/1996	5322.600098
2/9/1996	5305.399902
2/12/1996	5339
2/13/1996	5385.600098
2/14/1996	5330.799805
2/15/1996	5273.700195
2/16/1996	5173
2/22/1996	5237.700195
2/23/1996	5267.399902
2/26/1996	5245.200195
2/27/1996	5193
2/28/1996	5199.299805
2/29/1996	4957.700195
3/1/1996	5083.399902
3/4/1996	5152.700195
3/5/1996	5198
3/6/1996	4975.299805
3/7/1996	4756
3/8/1996	4721.899902
3/11/1996	4771.799805
3/12/1996	4739.399902
3/13/1996	4805.600098
3/14/1996	4841.299805
3/15/1996	4852.5
3/18/1996	4887
3/19/1996	4851.5
3/20/1996	4868.399902
3/21/1996	4979.700195
3/22/1996	5051.200195
3/25/1996	5031.600098
3/26/1996	4981.700195
3/27/1996	5039.600098
3/28/1996	4980.5
3/29/1996	4954.899902
4/1/1996	5009.299805
4/2/1996	4985.600098
4/3/1996	4977.600098
4/8/1996	4853.700195
4/9/1996	4866.5
4/10/1996	4889.600098
4/11/1996	4885.200195
