hash,node_id
0.40.60.60.60.20.6,200
0.60.60.40.60.40.6,201
0.60.60.40.60.60.6,202
0.80.60.80.60.81.0,203
0.60.60.80.60.60.8,204
0.40.60.60.60.40.6,205
0.60.60.60.60.81.0,206
0.80.60.60.61.01.0,207
0.80.80.60.61.01.0,208
1.00.81.00.81.01.0,209
0.61.00.61.01.01.0,210
0.41.00.81.00.41.0,211
0.41.00.61.00.41.0,212
0.60.80.61.00.80.8,213
1.01.00.81.00.81.0,214
0.60.80.81.00.81.0,215
0.60.80.81.00.60.8,216
0.40.80.81.00.40.8,217
0.40.80.41.00.40.8,218
0.60.80.41.00.60.8,219
0.80.80.81.01.01.0,220
1.00.80.80.81.01.0,221
0.20.80.21.00.20.6,222
0.20.60.20.80.20.4,223
0.40.60.21.00.40.6,224
1.00.80.21.00.60.6,225
1.00.80.41.01.00.8,226
1.00.80.61.01.00.8,227
1.00.80.81.01.00.8,228
1.00.81.01.01.00.8,229
0.80.81.01.00.80.8,230
0.40.60.81.00.60.6,231
0.40.60.80.80.40.6,232
0.20.60.80.80.20.4,233
0.20.40.60.80.20.4,234
0.20.40.40.80.20.4,235
0.20.40.20.60.20.4,236
0.20.40.20.60.20.2,237
0.60.20.20.40.40.2,238
0.60.20.20.40.60.2,239
0.60.20.40.40.40.2,240
0.40.20.20.20.20.2,241
0.20.20.40.20.20.2,242
0.60.20.60.20.60.2,243
0.80.20.80.21.00.2,244
1.00.40.80.21.00.2,245
1.00.40.60.21.00.4,246
1.00.40.60.20.80.2,247
0.80.20.60.20.80.2,248
0.40.20.60.20.40.2,249
0.40.20.80.20.40.2,250
0.60.40.80.20.40.2,251
0.60.40.80.20.60.2,252
0.80.40.60.20.80.4,253
0.80.40.60.21.00.4,254
0.80.40.60.40.80.4,255
0.60.40.80.40.80.4,256
1.00.60.80.61.00.6,257
1.00.81.00.41.00.6,258
0.81.01.00.61.01.0,259
0.81.01.00.60.81.0,260
0.61.00.80.60.81.0,261
0.40.80.60.60.21.0,262
0.40.80.40.60.20.8,263
0.20.60.20.60.20.6,264
0.20.40.20.40.20.2,265
0.80.20.20.20.60.2,266
1.00.20.20.20.80.2,267
1.00.21.00.21.00.2,268
0.80.21.00.20.80.4,269
0.60.20.80.20.60.4,270
0.20.20.80.20.20.2,271
0.20.20.60.20.20.2,272
0.40.20.40.20.40.2,273
0.60.40.40.21.00.2,274
1.00.40.80.21.00.4,275
1.00.61.00.21.00.4,276
1.00.81.00.21.00.4,277
1.00.81.00.20.80.6,278
0.60.60.80.20.60.4,279
0.20.60.60.20.20.6,280
0.20.40.60.20.20.6,281
0.20.40.20.40.20.6,282
0.40.60.20.40.20.6,283
0.40.60.20.40.40.6,284
0.80.60.20.40.60.6,285
0.80.60.40.60.80.6,286
0.60.60.40.60.80.6,287
0.80.60.60.80.80.6,288
0.80.60.80.81.00.8,289
0.80.81.00.81.00.8,290
1.00.81.00.81.00.8,291
0.80.81.00.81.01.0,292
0.80.80.80.60.81.0,293
0.60.80.80.60.81.0,294
1.01.00.80.81.01.0,295
0.61.00.41.00.21.0,296
0.60.80.81.00.61.0,297
0.40.80.61.00.40.8,298
0.20.60.40.80.20.6,299
0.20.20.20.60.20.4,300
0.60.20.40.20.60.2,301
0.80.20.80.20.80.2,302
0.60.20.20.20.40.2,303
0.60.20.20.20.60.2,304
0.60.20.40.20.80.2,305
0.60.20.80.20.80.2,306
0.80.40.80.21.00.2,307
1.00.81.00.40.81.0,308
0.80.81.00.40.80.8,309
0.60.80.80.40.60.8,310
0.40.80.80.40.40.8,311
0.20.80.60.40.20.8,312
0.40.80.60.60.20.8,313
0.40.80.20.60.20.6,314
1.00.20.20.20.60.2,315
0.80.21.00.20.80.2,316
0.40.20.80.20.20.2,317
1.00.20.80.21.00.4,318
0.80.81.00.20.80.6,319
0.40.61.00.20.40.4,320
0.20.60.80.20.40.4,321
