date,cp,d,cpj,maq_10,maq_50,f1,f2,f3,f4,f5,f6,t,z1,fz1,X1,z2,fz2,X2,z3,fz3,X3,z4,fz4,X4,z5,fz5,X5,z6,fz6,X6
3/23/1995,3145.600098,55,3001.360058799998,2811.4959862800006,3369.5243818120002,0.06753133329961258,-0.10926299420751406,0.01468379505191697,-0.006163481389683811,1.0,0.32405600811603114,1,2.362947223522369,0.9909348743440989,1.0,-1.6459334249841207,0.049888733200330077,0.2,2.6085742659590467,0.9954539859856584,1.0,-2.499761051228911,0.0062138549428537165,0.2,0.9901804175341706,0.8389570288559127,1.0,-0.7107036899582553,0.2386339362951274,0.4
3/24/1995,3361.1999509999996,56,3077.3800293999984,2865.8199902000006,3352.840783184,0.07382181711463098,-0.08215742160067985,0.019322099048015406,-0.004951321533108621,1.0,0.37269509435128195,2,2.5927643860838,0.9952396014387608,1.0,-1.288699510507746,0.0987512863677123,0.2,3.468421534100449,0.9997382373069309,1.0,-2.0494152386605515,0.020210764198383833,0.2,0.9901804175341706,0.8389570288559127,1.0,-0.5814094972482942,0.28048224906205976,0.4
3/27/1995,3372.3000490000004,57,3177.820019599999,2934.113994120001,3341.47798436,0.08305949461008932,-0.04897771750285729,0.023830528139778373,-0.0033890063855670505,1.0,0.4369585938797276,3,2.930254616262162,0.9983065781641753,1.0,-0.8514124718622519,0.19727013303454638,0.2,4.304192635223279,0.999991620210433,1.0,-1.4689785241538116,0.07091930715189963,0.2,0.9901804175341706,0.8389570288559127,1.0,-0.4105819193604198,0.34068956189360433,0.4
3/28/1995,3255.800049,58,3227.7600097999994,2999.377998040001,3332.9891845559996,0.07614312431085346,-0.031572012067605404,0.0222431725729777,-0.0025404326599585136,1.0,0.468911190950653,4,2.677571254515067,0.9962920961439541,1.0,-0.6220165326194853,0.2669654985152821,0.4,4.009929182713332,0.99996963151936,1.0,-1.1537134855449112,0.12430882662729259,0.2,0.9901804175341706,0.8389570288559127,1.0,-0.32564436063881186,0.3723467225491859,0.4
3/29/1995,3198.199951,59,3266.620019599999,3057.006005880001,3326.0619843599998,0.0685684010161629,-0.01787157456460886,0.019213319520799965,-0.002078374639827296,1.0,0.4937745966169118,5,2.4008355588253925,0.9918211572712738,1.0,-0.44145362807489075,0.3294423127228099,0.4,3.448256021149037,0.9997178905251773,1.0,-0.9820480955379846,0.16303807721736557,0.2,0.9901804175341706,0.8389570288559127,1.0,-0.25955154902448957,0.3976048569593212,0.4
3/30/1995,3125.5,60,3262.5999999999995,3094.1640137200006,3317.94878416,0.05443667030355459,-0.016681627041453262,0.012155032658924592,-0.0024392811192787134,0.9873033329258788,0.49120250827685424,6,1.8845455007061718,0.9702543868924031,1.0,-0.4257708894039814,0.3351374005017332,0.4,2.1397931258651264,0.9838142554994896,1.0,-1.1161333161201532,0.13218253655961176,0.2,0.9609885832919086,0.8317210458741228,1.0,-0.26638876804414763,0.39496990730727966,0.4
3/31/1995,2979.0,61,3186.1600097999994,3117.780019600001,3306.5923847439994,0.02193226904083212,-0.03642189932440798,0.0076324350536312036,-0.0034227169117908574,0.7115508258879996,0.44229468516386405,7,0.697026465823286,0.7571068844119383,0.8,-0.6859349096501863,0.24637707752822147,0.4,1.3013954703674637,0.9034384383469856,1.0,-1.4815027751773198,0.06923632297351928,0.2,0.3269858619206306,0.6281607107384025,0.8,-0.3963973269223105,0.34590596886997405,0.4
4/3/1995,2893.5,62,3090.399999999999,3127.8360205800013,3289.5615859119994,-0.011968664704187448,-0.06054350426662847,0.0032253721932857804,-0.005150558898815882,0.36825114436388334,0.38102552999596323,8,-0.5415136259360417,0.2940768041865557,0.4,-1.0038420604029965,0.1577273737044383,0.2,0.4844156078610506,0.6859545281060422,0.8,-2.123436592252416,0.01685864180326024,0.2,-0.46231949986991316,0.32192610895233864,0.4,-0.5592652294388231,0.2879903607944493,0.4
4/4/1995,3125.100098,63,3064.2600097999994,3135.4940186200015,3269.6903876679994,-0.02271859183815439,-0.06282869431393368,0.0024483374414814296,-0.006040682846340739,0.2393624370235771,0.3657609462955408,9,-0.9342525351074007,0.17508682102159007,0.2,-1.0339593871151969,0.15057757495043173,0.2,0.3403691613254397,0.6332107302675081,0.8,-2.4541385126799975,0.007061128628110226,0.2,-0.7586569369636595,0.22402890172970868,0.4,-0.5998421024716348,0.2743057355834704,0.4
4/5/1995,3180.300049,64,3060.680029399999,3141.5040186200013,3249.8723906,-0.025727800677939783,-0.058215320006786975,0.0019167633439292064,-0.006061123445432415,0.22362956859790326,0.375099487738567,10,-1.0441912707358352,0.14819845242023794,0.2,-0.9731580977791722,0.16523736640375314,0.2,0.24182613008395953,0.5955425545765036,0.6,-2.4617326745864423,0.006913384051242023,0.2,-0.7948295234035835,0.21335633738393806,0.4,-0.5750180510672825,0.28263954447098183,0.4
4/6/1995,3254.600098,65,3086.5000489999993,3150.0180176400017,3231.536792948,-0.02016431915128858,-0.04488166257754078,0.0027101665220026216,-0.005641943882176537,0.12537642434053223,0.408346157924178,11,-0.8409344822253354,0.2001923197845707,0.4,-0.7974291173651727,0.21260092714879125,0.4,0.3889069500938118,0.6513275096554536,0.8,-2.3059976368333515,0.010555382190873465,0.2,-1.0207305007386729,0.1536910698419235,0.2,-0.4866405400023742,0.31325654453473073,0.4
